order_id,order_date,customer_id,product_id,City,State,Region,ship_mode,sales,quantity,discount,profit
CA-2016-152156,11/8/2016,CG-12520,FUR-BO-10001798,Henderson,Kentucky,South,Second Class,261.96,2,0.0,41.9136
CA-2016-152156,11/8/2016,CG-12520,FUR-CH-10000454,Henderson,Kentucky,South,Second Class,731.94,3,0.0,219.582
CA-2016-138688,6/12/2016,DV-13045,OFF-LA-10000240,Los Angeles,California,West,Second Class,14.62,2,0.0,6.8714
US-2015-108966,10/11/2015,SO-20335,FUR-TA-10000577,Fort Lauderdale,Florida,South,Standard Class,957.5775,5,0.45,-383.031
US-2015-108966,10/11/2015,SO-20335,OFF-ST-10000760,Fort Lauderdale,Florida,South,Standard Class,22.368,2,0.2,2.5164
CA-2014-115812,6/9/2014,BH-11710,FUR-FU-10001487,Los Angeles,California,West,Standard Class,48.86,7,0.0,14.1694
CA-2014-115812,6/9/2014,BH-11710,OFF-AR-10002833,Los Angeles,California,West,Standard Class,7.28,4,0.0,1.9656
CA-2014-115812,6/9/2014,BH-11710,TEC-PH-10002275,Los Angeles,California,West,Standard Class,907.152,6,0.2,90.7152
CA-2014-115812,6/9/2014,BH-11710,OFF-BI-10003910,Los Angeles,California,West,Standard Class,18.504,3,0.2,5.7825
CA-2014-115812,6/9/2014,BH-11710,OFF-AP-10002892,Los Angeles,California,West,Standard Class,114.9,5,0.0,34.47
CA-2014-115812,6/9/2014,BH-11710,FUR-TA-10001539,Los Angeles,California,West,Standard Class,1706.184,9,0.2,85.3092
CA-2014-115812,6/9/2014,BH-11710,TEC-PH-10002033,Los Angeles,California,West,Standard Class,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,AA-10480,OFF-PA-10002365,Concord,North Carolina,South,Standard Class,15.552,3,0.2,5.4432
CA-2016-161389,12/5/2016,IM-15070,OFF-BI-10003656,Seattle,Washington,West,Standard Class,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,HP-14815,OFF-AP-10002311,Fort Worth,Texas,Central,Standard Class,68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,HP-14815,OFF-BI-10000756,Fort Worth,Texas,Central,Standard Class,2.544,3,0.8,-3.816
CA-2014-105893,11/11/2014,PK-19075,OFF-ST-10004186,Madison,Wisconsin,Central,Standard Class,665.88,6,0.0,13.3176
CA-2014-167164,5/13/2014,AG-10270,OFF-ST-10000107,West Jordan,Utah,West,Second Class,55.5,2,0.0,9.99
CA-2014-143336,8/27/2014,ZD-21925,OFF-AR-10003056,San Francisco,California,West,Second Class,8.56,2,0.0,2.4824
